agency, firename, lat, lon, startdate, hectares, stage_of_control, timezone
sk, 23LA-KENNY, 55.0362, -104.087, 2023-06-07 10:28:38, 44915, OC, CST
ab, HWF-064-2023, 59.2838, -119.067, 2023-06-09 21:47:00, 4553.8, OC, MDT
ab, LWF-162-2023, 54.9572, -111.212, 2023-06-30 20:04:00, 6.6, BH, MDT
mb, EA055, 53.2792, -96.9242, 2023-06-10 05:00:00, 2910, OC, CDT
nt, ZF012-23, 63.0121, -114.424, 2023-07-01 15:17:00, 30, OC, MDT
nt, VQ008-23, 64.2275, -124.237, 2023-07-01 15:44:00, 50, OC, MDT
sk, 23DB-JAY, 54.5228, -104.175, 2023-07-01 11:48:17, 1.5, OC, CST
nt, ZF009-23, 64.2089, -114.145, 2023-06-28 23:45:00, 50, OC, MDT
on, SLK_FIRE_053, 53.9106, -90.8784, 2023-06-24 17:28:00, 334.2, OC, GMT
bc, 2023-V91029, 50.5028, -126.704, 2023-07-01 17:24:00, 0.01, OC, PDT
qc, 382, 48.2969, -76.1019, 2023-06-01 23:41:00, 2267.7, BH, EDT
on, SUD_FIRE_017, 46.6328, -82.2622, 2023-06-04 14:35:00, 5857, UC, GMT
on, SUD_FIRE_010, 46.5705, -81.8123, 2023-06-02 23:03:00, 1370, UC, GMT
ab, PWF-081-2023, 56.6147, -119.629, 2023-06-30 19:31:00, 0.36, BH, MDT
sk, 23LA-MEEYO, 54.8348, -105.116, 2023-06-30 17:21:25, 0.1, UC, CST
ab, HWF-094-2023, 59.1601, -119.433, 2023-07-01 14:30:00, 0.01, BH, MDT
bc, 2023-G30612, 52.3739, -119.328, 2023-06-04 23:34:00, 277, UC, PDT
ab, LWF-164-2023, 56.111, -110.433, 2023-07-01 01:14:00, 1.3, BH, MDT
bc, 2023-G80280, 57.6187, -122.012, 2023-05-13 00:58:00, 571512, OC, PDT
bc, 2023-G80875, 57.2791, -120.912, 2023-06-24 22:34:00, 4306, OC, PDT
bc, 2023-G50916, 54.6563, -124.77, 2023-06-26 03:10:00, 0.01, BH, PDT
qc, 488, 50.2325, -78.3942, 2023-06-18 21:13:00, 50191.2, OC, EDT
qc, 535, 50.295, -78.1756, 2023-07-01 16:06:00, 23287.4, BH, EDT
qc, 256, 49.3014, -76.9186, 2023-06-01 20:18:00, 7918.4, BH, EDT
ab, PWF-074-2023, 56.4525, -116.18, 2023-06-28 21:46:00, 93, OC, MDT
qc, 467, 50.7289, -76.2622, 2023-06-11 18:55:00, 54150.2, OC, EDT
qc, 373, 48.8433, -75.1025, 2023-06-03 11:34:00, 26749.7, BH, EDT
sk, 23LA-WHITE, 54.8216, -105.019, 2023-06-30 15:35:40, 0.5, UC, CST
ab, HWF-036-2023, 58.4906, -119.403, 2023-05-03 22:26:00, 168863, BH, MDT
pc, 2023WB16, 60.466, -113.278, 2023-07-01 23:15:51, 3, OC, MDT
sk, 23LA-CHURCH, 55.7521, -106.221, 2023-07-01 08:00:57, 350, OC, CST
sk, 23DB-HOBB, 54.5663, -102.784, 2023-07-01 13:25:06, 0.1, UC, CST
qc, 536, 49.6592, -69.9222, 2023-07-01 21:01:00, 0, BH, EDT
ab, PWF-085-2023, 56.4697, -116.393, 2023-07-01 20:18:00, 0.01, UC, MDT
bc, 2023-V11037, 49.3416, -121.785, 2023-07-01 21:10:00, 0.01, OC, PDT
ab, MWF-039-2023, 57.4217, -113.401, 2023-06-29 20:10:00, 3518, BH, MDT
sk, 23LA-MAY, 56.3572, -103.751, 2023-07-01 16:16:05, 15, OC, CST
ab, MWF-025-2023, 58.8671, -111.146, 2023-05-28 18:30:00, 73690, BH, MDT
ab, GWF-041-2023, 55.9095, -119.335, 2023-06-12 21:10:00, 22.5, UC, MDT
sk, 23LF- EAST, 54.3733, -105.01, 2023-07-01 16:48:13, 1.5, OC, CST
sk, 23DB-NINI, 54.4961, -102.939, 2023-07-01 16:59:52, 0.1, OC, CST
nt, ZF013-23, 64.2451, -113.519, 2023-07-01 22:02:00, 20, OC, MDT
nt, FS007-23, 60.7851, -121.359, 2023-06-05 19:24:00, 333, OC, MDT
ab, PWF-082-2023, 56.9507, -119.776, 2023-06-30 21:50:00, 3000, OC, MDT
sk, 23LA-HEPBURN, 55.9469, -104.9, 2023-07-01 12:09:52, 7, OC, CST
nt, SS017-23, 60.6669, -112.519, 2023-07-01 22:10:00, 4, OC, MDT
bc, 2023-N51043, 50.0002, -117.416, 2023-07-01 23:15:00, 0.01, OC, PDT
sk, 23SR-HOCKING, 58.9787, -106.079, 2023-07-01 17:13:44, 4, OC, CST
sk, 23LA TOWER, 56.367, -103.378, 2023-07-01 13:33:55, 1.5, OC, CST
nt, VQ006-23, 64.9089, -125.219, 2023-06-30 23:27:00, 760, OC, MDT
nt, SS016-23, 61.4193, -110.4, 2023-06-29 15:10:00, 0.1, OC, MDT
ab, HWF-087-2023, 58.1581, -114.183, 2023-06-30 22:30:00, 3543, OC, MDT
qc, 504, 54.4117, -76.0108, 2023-06-22 18:09:00, 34933.5, OC, EDT
ab, MWF-043-2023, 59.7624, -111.149, 2023-06-30 17:54:00, 810, BH, MDT
pc, 2023WB18, 59.762, -113.908, 2023-07-02 02:52:21, 100, OC, MDT
pc, 2023WB17, 59.835, -112.285, 2023-07-02 02:47:48, 4, OC, MDT
sk, 23LA-DALY, 56.5009, -105.609, 2023-06-13 17:07:28, 450, OC, CST
ab, HWF-096-2023, 59.212, -119.028, 2023-07-01 18:42:00, 0.01, BH, MDT
sk, 23HB-SAUNDER, 54.352, -103.231, 2023-07-01 16:55:53, 5, OC, CST
ab, PWF-086-2023, 56.7674, -118.533, 2023-07-01 20:54:00, 0.2, UC, MDT
bc, 2023-V51050, 49.679, -124.47, 2023-07-02 00:03:00, 0.01, OC, PDT
