agency, firename, lat, lon, startdate, hectares, stage_of_control, timezone
ab, PWF-052-2023, 57.1156, -119.538, 2023-06-05 21:15:00, 0.35, UC, MDT
ab, PWF-049-2023, 57.0816, -118.129, 2023-05-29 20:20:00, 2.77, UC, MDT
nt, VQ002-23, 64.3496, -122.732, 2023-06-03 00:55:00, 132, OC, MDT
nt, SS008-23, 60.325, -119.086, 2023-05-23 18:00:00, 108203, OC, MDT
qc, 272, 47.6158, -75.7881, 2023-06-01 18:53:00, 17.3, UC, EDT
qc, 350, 48.1392, -75.3078, 2023-06-01 22:51:00, 516, UC, EDT
yt, 2023OC001, 67.1006, -137.348, 2023-06-09 23:29:00, 70, UC, PDT
on, SLK_FIRE_010, 52.2171, -90.7581, 2023-05-31 00:59:00, 15, OC, GMT
yt, 2023DA002, 65.4731, -138.159, 2023-06-09 23:13:00, 100, OC, PDT
on, CHA_FIRE_006, 48.166, -83.8425, 2023-06-04 14:52:00, 1229, OC, GMT
on, CHA_FIRE_003, 47.7236, -82.4194, 2023-06-01 19:30:00, 3916.9, OC, GMT
ab, GWF-019-2023, 54.7357, -119.033, 2023-05-05 20:57:00, 19435, UC, MDT
ab, PWF-051-2023, 56.4375, -119.181, 2023-06-05 18:38:00, 0.01, UC, MDT
ns, 09-013-2023, 44.7292, -63.7225, 2023-05-30 20:00:00, 7.21, UC, ADT
ns, 04-022-2023, 43.6089, -65.7526, 2023-05-30 00:00:00, 138, UC, ADT
qc, 404, 47.2269, -74.8572, 2023-06-04 13:47:00, 221.8, UC, EDT
ab, MWF-023-2023, 57.9763, -113.215, 2023-05-28 17:15:00, 54639, BH, MDT
ab, SWF-093-2023, 56.6716, -115.94, 2023-06-07 20:07:00, 23.9, UC, MDT
on, SLK_FIRE_022, 52.2732, -90.594, 2023-06-08 16:51:00, 10, OC, GMT
ab, MWF-021-2023, 57.6939, -113.296, 2023-05-28 01:40:00, 14760, BH, MDT
bc, 2023-G90713, 59.9467, -123.863, 2023-06-10 23:51:00, 51, OC, PDT
bc, 2023-G60654, 55.9288, -124.142, 2023-06-07 02:15:00, 20.5, UC, PDT
mb, NO023, 56.5839, -91.1519, 2023-06-11 05:00:00, 41, OC, CDT
mb, NO028, 55.7414, -92.8822, 2023-06-11 05:00:00, 1, OC, CDT
mb, NO022, 56.5608, -90.9489, 2023-06-11 05:00:00, 44, OC, CDT
mb, NO024, 56.24, -91.5425, 2023-06-11 05:00:00, 713, OC, CDT
mb, NO017, 56.5533, -90.8742, 2023-06-09 05:00:00, 211, OC, CDT
mb, NO025, 56.4772, -92.2878, 2023-06-11 05:00:00, 294, OC, CDT
mb, NO018, 57.0122, -90.3681, 2023-06-10 05:00:00, 9, OC, CDT
mb, NO019, 56.6264, -91.7167, 2023-06-10 05:00:00, 271, OC, CDT
mb, NO020, 56.8867, -90.0383, 2023-06-10 05:00:00, 35, OC, CDT
mb, NO021, 56.9533, -93.1547, 2023-06-10 05:00:00, 2175, OC, CDT
mb, NO031, 57.1206, -100.683, 2023-06-12 05:00:00, 21, OC, CDT
on, SLK_FIRE_036, 51.689, -89.301, 2023-06-12 19:45:00, 4, OC, GMT
ab, LWF-138-2023, 55.6255, -110.357, 2023-05-29 21:53:00, 4800, BH, MDT
mb, NO032, 56.2092, -90.6069, 2023-06-12 05:00:00, 1598, OC, CDT
mb, NO033, 55.5628, -92.9303, 2023-06-12 05:00:00, 23, OC, CDT
qc, 476, 51.2297, -72.4511, 2023-06-10 21:56:00, 251.4, OC, EDT
ab, MWF-024-2023, 57.7123, -110.647, 2023-05-28 18:05:00, 28204, BH, MDT
qc, 299, 49.2889, -72.4139, 2023-06-01 19:30:00, 7241.2, UC, EDT
qc, 461, 50.9978, -73.2606, 2023-06-05 22:30:00, 3242.8, OC, EDT
qc, 459, 51.5558, -71.4264, 2023-06-05 21:35:00, 549.3, OC, EDT
qc, 478, 50.9456, -73.2964, 2023-06-11 19:00:00, 2124.5, OC, EDT
qc, 306, 50.7044, -70.7317, 2023-06-01 20:00:00, 2309.2, OC, EDT
qc, 458, 51.6536, -71.695, 2023-06-05 20:15:00, 397.4, OC, EDT
ab, GWF-018-2023, 56.2818, -119.162, 2023-05-05 19:25:00, 49327.7, BH, MDT
on, SLK_FIRE_032, 52.9571, -89.2777, 2023-06-11 18:26:00, 37, OC, GMT
ab, HWF-066-2023, 57.4107, -115.221, 2023-06-11 21:02:00, 11.2, UC, MDT
qc, 225, 48.0569, -75.2647, 2023-06-01 18:30:00, 9749, BH, EDT
qc, 226, 47.9914, -75.0175, 2023-06-01 17:52:00, 1851.3, BH, EDT
qc, 360, 47.4275, -75.9203, 2023-06-02 01:30:00, 233.7, BH, EDT
bc, 2023-G90790, 57.8996, -123.61, 2023-06-15 03:22:00, 10, OC, PDT
ab, MNZ-001-2023, 58.0639, -112.669, 2023-06-03 15:25:00, 2595, BH, MDT
yt, 2023WL003, 60.46, -125.972, 2023-06-02 16:27:00, 1728.86, OC, PDT
sk, 23LX-CENTIPEDE, 56.258, -107.312, 2023-06-02 20:33:39, 1148, OC, CST
bc, 2023-G60603, 55.912, -123.135, 2023-06-04 16:12:00, 151.17, OC, PDT
on, SLK_FIRE_039, 51.9926, -91.317, 2023-06-15 20:33:00, 1, OC, GMT
qc, 270, 49.7389, -68.6347, 2023-06-01 05:00:00, 3045, UC, EDT
qc, 462, 50.6786, -72.8358, 2023-06-08 12:14:00, 15466.1, BH, EDT
qc, 361, 47.1303, -73.7275, 2023-06-02 20:00:00, 1441.9, UC, EDT
bc, 2023-V70600, 49.2773, -124.615, 2023-06-04 07:53:00, 229, UC, PDT
bc, 2023-C30675, 52.2524, -120.836, 2023-06-08 22:18:00, 226, UC, PDT
bc, 2023-G90288, 59.9636, -120.987, 2023-05-13 20:30:00, 107425, OC, PDT
bc, 2023-V80527, 50.3705, -126.037, 2023-05-29 21:34:00, 230, BH, PDT
qc, 249, 49.3578, -71.0489, 2023-06-01 20:00:00, 6645.7, BH, EDT
on, SLK_FIRE_030, 53.5838, -91.8239, 2023-06-10 21:34:00, 33.3, OC, GMT
on, SLK_FIRE_019, 52.0922, -89.2822, 2023-06-06 23:35:00, 824.8, OC, GMT
on, SLK_FIRE_040, 52.0766, -91.5473, 2023-06-15 20:37:00, 28.1, OC, GMT
on, RED_FIRE_026, 51.3788, -92.9906, 2023-06-10 19:44:00, 169.7, UC, GMT
sk, 23LA-FOSTER, 56.438, -105.719, 2023-06-14 10:44:29, 971, OC, CST
ab, PWF-055-2023, 56.423, -119.962, 2023-06-06 21:23:00, 0.01, UC, MDT
ab, PWF-054-2023, 56.4231, -119.969, 2023-06-06 19:55:00, 1.46, UC, MDT
yt, 2023XY013, 60.7285, -135.077, 2023-06-17 04:09:00, 1, UC, PDT
mb, NO040, 55.5694, -99.6867, 2023-06-18 05:00:00, 10, OC, CDT
bc, 2023-G90628, 58.5021, -120.412, 2023-06-05 15:50:00, 11077.8, OC, PDT
bc, 2023-G90635, 58.195, -120.083, 2023-06-05 20:10:00, 4687.96, OC, PDT
mb, NO042, 56.6606, -98.3983, 2023-06-18 05:00:00, 123, OC, CDT
qc, 337, 46.5953, -77.3606, 2023-06-02 00:03:00, 805.1, UC, EDT
mb, NO041, 56.7092, -98.4792, 2023-06-18 05:00:00, 215, OC, CDT
ab, MSZ-001-2023, 58.9446, -110.006, 2023-06-03 15:00:00, 75, BH, MDT
ab, WWF-023-2023, 54.3939, -116.341, 2023-05-05 20:03:00, 66436.7, BH, MDT
on, SUD_FIRE_019, 46.7506, -81.9973, 2023-06-04 16:40:00, 459, UC, GMT
sk, 23LX-ELLERAAS, 56.8301, -106.595, 2023-05-30 12:47:09, 18342.2, OC, CST
sk, 23LX-HAULTAIN, 56.8612, -106.427, 2023-06-02 20:44:40, 5664, OC, CST
nt, ZF002-23, 61.9053, -112.745, 2023-06-19 22:20:00, 1, OC, MDT
mb, NO016, 53.3303, -94.7756, 2023-06-10 05:00:00, 181, OC, CDT
on, RED_FIRE_032, 52.1375, -94.6138, 2023-06-11 21:47:00, 535.6, OC, GMT
bc, 2023-K20469, 52.1381, -119.569, 2023-05-21 21:12:00, 1270, UC, PDT
ab, RWF-034-2023, 52.8151, -115.45, 2023-05-04 22:59:00, 87492, BH, MDT
mb, NO043, 55.8589, -94.3678, 2023-06-19 05:00:00, 200, OC, CDT
qc, 394, 46.2269, -76.4597, 2023-06-02 01:08:00, 73.7, UC, EDT
bc, 2023-G60649, 55.6615, -123.897, 2023-06-06 22:45:00, 100, UC, PDT
qc, 388, 48.0128, -75.8644, 2023-06-01 22:23:00, 80, UC, EDT
bc, 2023-G60325, 57.3534, -124.844, 2023-05-15 21:48:00, 17215, BH, PDT
bc, 2023-N40726, 51.7026, -116.696, 2023-06-11 01:52:00, 8, UC, PDT
ab, GWF-035-2023, 55.5859, -119.403, 2023-06-04 21:41:00, 871.4, BH, MDT
ab, GWF-038-2023, 55.655, -119.485, 2023-06-06 19:46:00, 7139, OC, MDT
ab, LWF-148-2023, 55.9353, -111.105, 2023-06-07 22:19:00, 2317, UC, MDT
bc, 2023-N70201, 50.6038, -117.011, 2023-05-04 03:08:00, 13, UC, PDT
bc, 2023-N70648, 50.6624, -117.072, 2023-06-06 19:02:00, 0.13, UC, PDT
bc, 2023-G70759, 54.302, -120.243, 2023-06-13 03:06:00, 23.28, BH, PDT
bc, 2023-G90776, 58.2226, -123.885, 2023-06-14 04:03:00, 793, OC, PDT
on, SLK_FIRE_031, 50.9728, -89.1258, 2023-06-11 18:23:00, 20000, OC, GMT
bc, 2023-G70755, 54.5387, -120.686, 2023-06-13 01:11:00, 11.11, BH, PDT
bc, 2023-G90565, 57.9132, -123.931, 2023-06-02 18:14:00, 208, UC, PDT
sk, 23LX-SMITH, 55.9848, -106.587, 2023-05-11 17:55:13, 449225, OC, CST
qc, 271, 50.2925, -70.5722, , 6524.7, UC, EDT
qc, 279, 50.7486, -70.1975, 2023-06-01 21:00:00, 145.7, UC, EDT
mb, NO046, 54.4289, -97.7244, 2023-06-21 05:00:00, 0.1, UC, CDT
ab, GWF-027-2023, 54.5201, -117.357, 2023-05-13 18:44:00, 54988.4, BH, MDT
qc, 265, 49.4403, -71.5572, 2023-06-01 20:30:00, 6052.3, UC, EDT
nt, SS015-23, 60.9826, -107.099, 2023-05-31 21:29:00, 2, OC, MDT
ab, SWF-086-2023, 55.1798, -114.116, 2023-05-17 02:17:00, 4742, UC, MDT
ab, SWF-087-2023, 55.2281, -114.275, 2023-05-17 02:29:00, 1036, UC, MDT
ab, LWF-157-2023, 55.9231, -110.71, 2023-06-22 14:40:00, 0.01, UC, MDT
mb, EA059, 52.6308, -95.7336, 2023-06-11 05:00:00, 1940, OC, CDT
qc, 481, 49.0325, -75.3522, 2023-06-14 23:35:00, 101.6, BH, EDT
qc, 302, 48.7011, -74.1394, 2023-06-01 19:00:00, 2659.9, UC, EDT
qc, 277, 49.5189, -72.6156, 2023-06-01 19:20:00, 3276.6, UC, EDT
qc, 305, 49.7236, -72.6042, 2023-06-01 23:30:00, 1524.2, UC, EDT
sk, 23LA-MCCRAE, 56.0684, -105.852, 2023-05-11 17:13:38, 80000, OC, CST
ab, LWF-158-2023, 55.9235, -110.689, 2023-06-22 16:42:00, 0.01, UC, MDT
nt, SS012-23, 60.5739, -118.027, 2023-06-05 23:30:00, 18.2, BH, MDT
ak, Louise Creek Coal Seam, 63.921, -148.87, 2023-06-14 00:00:00, 100.97, Unstaffed/Uncontaine
qc, 454, 50.3847, -72.1808, 2023-06-05 19:06:00, 3390.4, UC, EDT
pc, 2023WB12, 58.1171, -112.644, 2023-05-31 01:08:52, 15992, OC, MDT
ab, SWF-057-2023, 55.0343, -115.148, 2023-05-04 18:04:00, 16728, UC, MDT
ab, EWF-040-2023, 53.9356, -117.776, 2023-05-06 17:05:00, 12073.4, BH, MDT
nt, FS010-23, 61.0082, -119.992, 2023-06-12 23:11:00, 8, UC, MDT
nt, FS009-23, 60.1275, -123.822, 2023-06-10 22:08:00, 0.5, UC, MDT
nt, FS001-23, 60.0514, -120.976, 2023-05-13 21:30:00, 450803, OC, MDT
pc, 2023WB1, 58.6371, -114.002, 2023-05-16 22:51:58, 20.67, OC, MDT
pc, 2023WB4, 58.3837, -112.247, 2023-05-28 21:44:23, 435, OC, MDT
on, SLK_FIRE_029, 52.106, -89.8102, 2023-06-10 18:39:00, 998, OC, GMT
sk, 23LA-GOW, 56.458, -104.383, 2023-06-07 15:01:05, 907, OC, CST
ab, SWF-081-2023, 56.9909, -113.459, 2023-05-14 18:37:00, 33138, BH, MDT
ns, 09-011-2023, 44.7233, -63.8765, 2023-05-28 20:00:00, 969.53, UC, ADT
ns, 03-012-2023, 43.7384, -65.2876, 2023-05-31 20:00:00, 114.08, UC, ADT
nl, 607, 53.0856, -64.3624, 2023-06-12 00:00:00, 10560, OC, NDT
on, NIP_FIRE_019, 51.0052, -87.5622, 2023-06-13 21:01:00, 8705.8, OC, GMT
ab, WCU-002-2023, 53.6246, -115.101, 2023-04-30 01:37:00, 2478, UC, MDT
on, TIM_FIRE_007, 47.9984, -81.9443, 2023-06-04 21:07:00, 149, UC, GMT
ns, 03-010-2023, 43.6286, -65.5833, 2023-05-27 20:00:00, 23379.2, UC, ADT
ab, WCU-001-2023, 53.5614, -114.903, 2023-04-29 22:40:00, 6284, UC, MDT
pc, 2023WB13, 58.841, -113.196, 2023-05-31 01:25:47, 0.2, OC, MDT
pc, 2023WB11, 59.2167, -113.423, 2023-05-30 23:53:22, 34886, OC, MDT
pc, 2023WB15, 59.4837, -111.957, 2023-06-10 16:37:08, 11.5, BH, MDT
pc, 2023WB2, 59.3952, -112.452, 2023-05-28 20:27:16, 18911, OC, MDT
pc, 2023WB14, 58.96, -113.29, 2023-05-31 01:32:46, 58030, OC, MDT
qc, 457, 51.1356, -72.7747, 2023-06-05 23:15:00, 4168.5, OC, EDT
qc, 460, 51.0942, -73.1653, 2023-06-05 23:40:00, 6873.4, OC, EDT
ab, PWF-038-2023, 56.3832, -116.808, 2023-05-06 05:24:00, 6534, UC, MDT
sk, 23LA-SHARP, 55.4241, -105.122, 2023-05-19 13:48:02, 19900, OC, CST
sk, 23DB-KPIR02, 54.8537, -103.39, 2023-05-18 15:13:07, 9213, UC, CST
ab, EWF-031-2023, 53.1452, -115.687, 2023-05-04 19:21:00, 201885, BH, MDT
on, SLK_FIRE_051, 52.4803, -89.2566, 2023-06-23 17:44:00, 69, OC, GMT
on, SLK_FIRE_016, 52.5488, -89.2926, 2023-06-05 23:41:00, 6, OC, GMT
yt, 2023XY014, 60.6247, -134.023, 2023-06-18 20:14:00, 0.01, UC, PDT
pc, 2023WB9, 58.8869, -113.232, 2023-05-29 21:07:31, 1827, OC, MDT
pc, 2023WB8, 58.9604, -112.99, 2023-05-29 19:03:21, 4611, OC, MDT
pc, 2023WB3, 58.2736, -112.839, 2023-05-28 20:30:43, 5287, OC, MDT
ab, PWF-063-2023, 57.2651, -118.109, 2023-06-23 03:17:00, 0.01, UC, MDT
ab, PWF-064-2023, 57.1648, -118.429, 2023-06-24 18:21:00, 0.2, BH, MDT
mb, NO035, 55.8719, -101.201, 2023-06-16 05:00:00, 154, UC, CDT
ab, MWF-034-2023, 57.7233, -112.206, 2023-06-24 21:20:00, 15, UC, MDT
ab, MWF-035-2023, 57.7468, -112.137, 2023-06-24 21:26:00, 4.5, UC, MDT
ab, EWF-037-2023, 53.91, -117.559, 2023-05-06 16:47:00, 578, UC, MDT
on, SLK_FIRE_007, 51.7644, -91.8501, 2023-05-26 21:52:00, 16003, BH, GMT
mb, EA057, 53.1078, -96.5069, 2023-06-11 05:00:00, 394, OC, CDT
sk, 23LA-WISTIGO, 55.2572, -106.375, 2023-05-11 17:27:38, 64309.8, OC, CST
mb, NO047, 56.6342, -101.909, 2023-06-23 05:00:00, 451, OC, CDT
yt, 2023WL005, 60.3051, -128.992, 2023-06-24 04:46:00, 0.34, UC, PDT
sk, 23LA-BLACK, 55.7225, -105.849, 2023-06-16 16:21:13, 2800, OC, CST
yt, 2023WL004, 60.132, -129.024, 2023-06-24 04:36:00, 0.01, UC, PDT
ab, HWF-078-2023, 57.436, -115.137, 2023-06-24 22:40:00, 25.2, UC, MDT
mb, NO049, 54.5722, -98.1078, 2023-06-25 05:00:00, 2, OC, CDT
ab, EWF-035-2023, 53.8368, -115.783, 2023-05-05 20:03:00, 19672, UC, MDT
ab, HWF-075-2023, 58.6745, -114.327, 2023-06-25 01:05:00, 13, UC, MDT
qc, 479, 52.5225, -70.4006, 2023-06-12 05:00:00, 15687.9, OC, EDT
bc, 2023-G60887, 56.7856, -126.684, 2023-06-25 00:55:00, 20, OC, PDT
bc, 2023-G60895, 56.6962, -126.333, 2023-06-25 03:58:00, 1, OC, PDT
conus, Klamath National Forest Late J, 41.7572, -123.211, , 0, 0% contained
sk, 23LX-SHAW, 55.5584, -108.38, 2023-05-04 17:17:17, 184981, UC, CST
on, NIP_FIRE_013, 50.8433, -87.3543, 2023-06-11 18:30:00, 30639.4, OC, GMT
bc, 2023-G90358, 59.1388, -120.334, 2023-05-18 00:50:00, 36445, OC, PDT
bc, 2023-G90909, 59.8137, -120.733, 2023-06-25 23:10:00, 35, OC, PDT
qc, 517, 53.6519, -78.4969, 2023-06-24 20:02:00, 3.5, BH, EDT
bc, 2023-G90810, 57.6618, -123.44, 2023-06-17 04:47:00, 500, BH, PDT
on, SLK_FIRE_023, 53.7625, -90.7008, 2023-06-08 22:57:00, 17113, OC, GMT
sk, 23LA-SUTTLE, 56.5294, -105.531, 2023-06-13 17:13:17, 1026, OC, CST
bc, 2023-G60858, 57.6324, -125.927, 2023-06-24 03:52:00, 1651, OC, PDT
bc, 2023-N40596, 52.0451, -118.702, 2023-06-04 01:42:00, 1138.93, UC, PDT
on, SLK_FIRE_018, 52.2693, -90.2512, 2023-06-06 21:34:00, 2457, OC, GMT
qc, 470, 51.1608, -66.1956, 2023-06-11 19:29:00, 37156.6, OC, EDT
qc, 527, 52.2208, -66.7689, 2023-06-25 07:00:00, 32, OC, EDT
bc, 2023-G90292, 58.0517, -123.325, 2023-05-13 23:28:00, 20292, BH, PDT
qc, 369, 49.1686, -75.6703, 2023-06-03 11:27:00, 20027.7, BH, EDT
qc, 433, 49.0639, -75.0464, 2023-06-05 23:13:00, 726.3, BH, EDT
qc, 449, 49.2592, -74.985, 2023-06-05 20:00:00, 26513.6, BH, EDT
qc, 450, 50.6519, -73.1058, 2023-06-06 01:00:00, 21692.6, BH, EDT
qc, 451, 49.7681, -73.3861, 2023-06-06 17:26:00, 851.4, BH, EDT
qc, 453, 50.7172, -72.555, 2023-06-05 23:40:00, 14557.1, BH, EDT
qc, 370, 49.2325, -75.31, 2023-06-03 11:27:00, 2934.1, BH, EDT
qc, 498, 54.5289, -77.7439, 2023-06-21 13:00:00, 7308.9, OC, EDT
qc, 480, 51.6803, -73.2594, 2023-06-11 05:00:00, 36538.6, OC, EDT
mb, NO048, 55.1608, -96.8564, 2023-06-24 05:00:00, 3, OC, CDT
nl, 612, 52.0993, -58.913, 2023-06-26 00:00:00, 1200, OC, NDT
bc, 2023-G80864, 56.7563, -121.893, 2023-06-24 05:19:00, 7, UC, PDT
on, KLK_FIRE_005, 47.5769, -80.248, 2023-06-07 19:20:00, 2300, BH, GMT
mb, NO050, 54.3936, -97.5694, 2023-06-25 05:00:00, 0.1, UC, CDT
mb, NO052, 53.9589, -97.8281, 2023-06-26 05:00:00, 1, UC, CDT
mb, NO029, 56.5225, -99.6622, 2023-06-12 05:00:00, 20980.4, OC, CDT
mb, NO037, 57.0006, -100.587, 2023-06-18 05:00:00, 1101.9, OC, CDT
on, RED_FIRE_029, 50.6102, -92.5964, 2023-06-10 20:11:00, 4130.8, OC, GMT
on, RED_FIRE_028, 50.7161, -92.2131, 2023-06-10 19:56:00, 19177.1, OC, GMT
nl, 608, 52.4032, -65.9883, 2023-06-24 00:00:00, 2300, OC, NDT
nl, 610, 52.392, -65.1075, 2023-06-25 00:00:00, 2100, OC, NDT
qc, 528, 52.2583, -66.725, 2023-06-25 07:00:00, 6.6, OC, EDT
bc, 2023-G50851, 55.7977, -125.496, 2023-06-24 02:15:00, 68, OC, PDT
on, SLK_FIRE_054, 53.1768, -91.1363, 2023-06-25 15:16:00, 1500, OC, GMT
ab, GWF-039-2023, 54.533, -119.276, 2023-06-07 21:43:00, 93.9, UC, MDT
ab, GWF-040-2023, 54.5067, -117.18, 2023-06-08 01:00:00, 1.3, UC, MDT
qc, 372, 48.7817, -75.2447, 2023-06-03 11:33:00, 2873.4, UC, EDT
on, NIP_FIRE_024, 52.2812, -86.2882, 2023-06-23 23:32:00, 989.4, OC, GMT
on, COC_FIRE_007, 48.9843, -79.6735, 2023-06-02 21:35:00, 37742, OC, GMT
mb, NO051, 53.9703, -97.8244, 2023-06-26 05:00:00, 8, UC, CDT
bc, 2023-K40665, 51.4401, -118.64, 2023-06-07 23:24:00, 25, UC, PDT
on, COC_FIRE_006, 48.9088, -80.3046, 2023-06-02 20:40:00, 1239, UC, GMT
qc, 281, 49.0622, -79.3578, 2023-06-01 21:58:00, 11203.3, BH, EDT
bc, 2023-N10879, 49.1871, -115.183, 2023-06-24 22:59:00, 4.12, UC, PDT
ab, RWF-040-2023, 52.8087, -116.204, 2023-05-05 20:45:00, 5089, BH, MDT
qc, 351, 49.1106, -74.62, 2023-06-02 00:00:00, 7226.3, BH, EDT
on, SLK_FIRE_048, 53.3889, -90.4112, 2023-06-21 21:20:00, 3000, OC, GMT
yt, 2023RR001, 62.1938, -130.886, 2023-06-29 00:29:00, 50, OC, PDT
yt, 2023WL006, 60.1213, -129.005, 2023-06-27 23:11:00, 0.07, UC, PDT
bc, 2023-G50863, 55.808, -125.576, 2023-06-24 05:16:00, 200, OC, PDT
bc, 2023-V10926, 49.3655, -123.273, 2023-06-26 20:53:00, 0.4, UC, PDT
bc, 2023-G50915, 55.7091, -126.337, 2023-06-26 02:44:00, 1.5, UC, PDT
nt, ZF010-23, 62.8, -114.983, 2023-06-28 23:35:00, 0.2, OC, MDT
nt, ZF008-23, 64.15, -114.833, 2023-06-29 01:47:00, 5, OC, MDT
nt, ZF007-23, 64.1333, -114.183, 2023-06-29 01:17:00, 1, OC, MDT
qc, 357, 52.8964, -73.4064, 2023-06-01 21:00:00, 212432, OC, EDT
qc, 385, 49.7144, -69.0931, 2023-06-03 05:00:00, 531.2, UC, EDT
on, COC_FIRE_012, 52.9419, -82.5495, 2023-06-17 17:49:00, 68.2, UC, GMT
qc, 490, 54.8631, -70.9075, 2023-06-17 20:00:00, 2170, OC, EDT
ab, SWF-068-2023, 55.8778, -116.408, 2023-05-05 19:12:00, 132018, OC, MDT
ab, PWF-061-2023, 57.6274, -118.839, 2023-06-22 20:09:00, 12, BH, MDT
bc, 2023-G90946, 59.1354, -120.988, 2023-06-27 23:40:00, 60, OC, PDT
on, COC_FIRE_011, 52.1823, -81.8548, 2023-06-17 16:40:00, 805, BH, GMT
qc, 274, 49.5083, -75.2878, 2023-06-01 20:52:00, 42457.6, BH, EDT
bc, 2023-R90857, 57.3586, -129.028, 2023-06-24 02:58:00, 60, OC, PDT
qc, 326, 49.66, -69.9722, 2023-06-02 01:00:00, 810, BH, EDT
qc, 378, 50.4303, -66.2133, 2023-05-31 20:00:00, 9, UC, EDT
qc, 248, 47.9144, -75.7328, 2023-06-01 18:04:00, 8583.6, BH, EDT
bc, 2023-R90877, 57.5058, -127.61, 2023-06-24 16:18:00, 4333, OC, PDT
bc, 2023-G50912, 55.7693, -126.376, 2023-06-26 00:45:00, 750, OC, PDT
qc, 283, 49.5558, -68.6725, 2023-06-01 05:00:00, 11409.6, BH, EDT
on, FOR_FIRE_013, 48.752, -93.3321, 2023-06-27 16:49:00, 0.1, UC, GMT
sk, 23BN-VERMETTE, 55.6443, -109.219, 2023-04-29 19:52:08, 88446, OC, CST
sk, 23LA-COWIE, 57.1886, -102.704, 2023-06-24 18:09:10, 900, OC, CST
qc, 375, 49.5828, -68.4461, 2023-06-03 12:27:00, 1900.1, BH, EDT
bc, 2023-G80839, 57.9621, -121.044, 2023-06-22 20:12:00, 110, UC, PDT
mb, WE018, 55.4372, -101.673, 2023-06-16 05:00:00, 11762, OC, CDT
bc, 2023-G90981, 59.1395, -127.65, 2023-06-29 01:18:00, 2, OC, PDT
sk, 23LA-SHADD, 55.6648, -105.395, 2023-06-25 09:36:47, 200, OC, CST
on, NIP_FIRE_026, 53.8073, -88.7836, 2023-06-23 19:58:00, 2306.3, OC, GMT
qc, 469, 54.0028, -72.1719, 2023-06-10 16:00:00, 100976, OC, EDT
ak, Billy Creek, 63.7846, -143.589, 2023-06-25 00:00:00, 18.21, Unstaffed/Uncontaine
on, NIP_FIRE_025, 52.9961, -88.2433, 2023-06-23 19:08:00, 130.2, OC, GMT
on, NIP_FIRE_011, 53.0156, -87.5128, 2023-06-07 18:10:00, 0.1, OC, GMT
qc, 353, 49.8558, -70.0192, 2023-06-01 19:30:00, 17017, BH, EDT
qc, 314, 49.5558, -76.7642, 2023-06-02 02:35:00, 122804, BH, EDT
mb, NO053, 53.7956, -96.3006, 2023-06-26 05:00:00, 50, OC, CDT
mb, NO054, 53.7547, -96.1553, 2023-06-26 05:00:00, 23, OC, CDT
qc, 172, 50.6178, -66.0056, 2023-05-28 15:30:00, 45709.2, OC, EDT
pc, 2023WB7, 59.6748, -112.425, 2023-05-29 22:09:23, 41104, OC, MDT
bc, 2023-R50944, 54.5323, -128.506, 2023-06-27 23:24:00, 0.03, UC, PDT
on, RED_FIRE_005, 53.4689, -93.2176, 2023-05-25 16:20:00, 11748, OC, GMT
yt, 2023CA002, 62.0521, -135.361, 2023-06-29 01:48:00, 10, OC, PDT
qc, 236, 49.3775, -72.0669, 2023-06-01 19:45:00, 9866.7, UC, EDT
on, NIP_FIRE_009, 53.0395, -88.3788, 2023-06-05 21:56:00, 26123.6, OC, GMT
qc, 297, 48.1811, -76.9086, 2023-06-01 22:55:00, 20553.6, BH, EDT
on, SLK_FIRE_047, 53.1217, -90.366, 2023-06-21 21:11:00, 14352, OC, GMT
on, SLK_FIRE_033, 50.5579, -90.1077, 2023-06-11 23:07:00, 60394.5, OC, GMT
bc, 2023-G50872, 55.3014, -124.841, 2023-06-24 21:06:00, 11441, OC, PDT
on, COC_FIRE_023, 54.0623, -85.2112, 2023-06-29 13:49:00, 95.1, OC, GMT
on, COC_FIRE_022, 54.7311, -85.049, 2023-06-29 13:38:00, 70, OC, GMT
qc, 218, 53.0506, -75.3258, 2023-05-27 19:43:00, 840823, OC, EDT
qc, 339, 48.4889, -74.8294, 2023-06-01 22:33:00, 2339.5, UC, EDT
qc, 365, 48.3983, -74.8239, 2023-06-02 20:17:00, 302.7, UC, EDT
bc, 2023-G90980, 58.8485, -121.366, 2023-06-29 01:25:00, 14, OC, PDT
on, COC_FIRE_024, 54.2148, -85.6278, 2023-06-29 13:58:00, 766, OC, GMT
ab, HWF-079-2023, 59.8601, -115.804, 2023-06-25 22:04:00, 198.9, BH, MDT
bc, 2023-C30399, 52.6166, -121.071, 2023-05-19 21:10:00, 900, BH, PDT
